[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00300000 | Giá: 1894.00 USDT | Tổng: 5.68 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00550000 | Giá: 1893.99 USDT | Tổng: 10.42 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.01200000 | Giá: 1893.99 USDT | Tổng: 22.73 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00310000 | Giá: 1893.98 USDT | Tổng: 5.87 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00400000 | Giá: 1893.96 USDT | Tổng: 7.58 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.03240000 | Giá: 1893.95 USDT | Tổng: 61.36 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.01200000 | Giá: 1893.94 USDT | Tổng: 22.73 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.01650000 | Giá: 1893.93 USDT | Tổng: 31.25 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00320000 | Giá: 1893.90 USDT | Tổng: 6.06 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00270000 | Giá: 1893.90 USDT | Tổng: 5.11 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.74230000 | Giá: 1893.90 USDT | Tổng: 1405.84 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00280000 | Giá: 1893.89 USDT | Tổng: 5.30 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00310000 | Giá: 1893.88 USDT | Tổng: 5.87 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.09040000 | Giá: 1893.87 USDT | Tổng: 171.21 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00270000 | Giá: 1893.87 USDT | Tổng: 5.11 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.40000000 | Giá: 1893.85 USDT | Tổng: 757.54 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.13880000 | Giá: 1893.83 USDT | Tổng: 262.86 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00500000 | Giá: 1893.82 USDT | Tổng: 9.47 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.25680000 | Giá: 1893.82 USDT | Tổng: 486.33 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.25670000 | Giá: 1893.82 USDT | Tổng: 486.14 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00270000 | Giá: 1893.78 USDT | Tổng: 5.11 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00310000 | Giá: 1893.78 USDT | Tổng: 5.87 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.12490000 | Giá: 1893.77 USDT | Tổng: 236.53 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.08000000 | Giá: 1893.77 USDT | Tổng: 151.50 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00600000 | Giá: 1893.75 USDT | Tổng: 11.36 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00270000 | Giá: 1893.75 USDT | Tổng: 5.11 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.01000000 | Giá: 1893.74 USDT | Tổng: 18.94 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.02640000 | Giá: 1893.73 USDT | Tổng: 49.99 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.01220000 | Giá: 1893.72 USDT | Tổng: 23.10 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00400000 | Giá: 1893.72 USDT | Tổng: 7.57 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.04500000 | Giá: 1893.71 USDT | Tổng: 85.22 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00550000 | Giá: 1893.70 USDT | Tổng: 10.42 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00480000 | Giá: 1893.69 USDT | Tổng: 9.09 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00270000 | Giá: 1893.69 USDT | Tổng: 5.11 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.01310000 | Giá: 1893.69 USDT | Tổng: 24.81 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.05280000 | Giá: 1893.65 USDT | Tổng: 99.98 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00500000 | Giá: 1893.65 USDT | Tổng: 9.47 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00650000 | Giá: 1893.64 USDT | Tổng: 12.31 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00270000 | Giá: 1893.61 USDT | Tổng: 5.11 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 1.17260000 | Giá: 1893.61 USDT | Tổng: 2220.45 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00750000 | Giá: 1893.61 USDT | Tổng: 14.20 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00280000 | Giá: 1893.62 USDT | Tổng: 5.30 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 2.63720000 | Giá: 1893.61 USDT | Tổng: 4993.83 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.07820000 | Giá: 1893.62 USDT | Tổng: 148.08 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.11790000 | Giá: 1893.62 USDT | Tổng: 223.26 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00680000 | Giá: 1893.62 USDT | Tổng: 12.88 USDT
